Route,FgnPort,FgnPtLat,FgnPtLng,USPt,USPtLat,USPtLng,MetricTons
Skikda-Perth Amboy,Skikda,36.87220542,6.993141174,Perth Amboy,40.55815634,-74.24603462,"7,578,246"
,,,,,,,
St Croix-San Juan,St Croix,17.6492558,-64.5227051,San Juan,18.413496,-66.0099792,"7,351,435"
,,,,,,,
Salina Cruz-Long Beach,Salina Cruz,16.14526766,-95.1640892,Long Beach,33.79740877,-118.1763268,"7,306,218"
,,,,,,,
Guanta-Houston,Guanta,10.16085679,-64.54055786,Houston,29.79655941,-94.95346069,"7,107,770"
,,,,,,,
Amsterdam-Port Arthur,Amsterdam,52.34037359,4.988479614,Port Arthur,29.99569696,-93.80401611,"7,100,234"
,,,,,,,
Bajo Grande-Savannah,Bajo Grande,10.47938379,-71.60048172,Savannah,32.17779192,-80.98743439,"7,060,560"
,,,,,,,
Douala-Philadelphia,Douala,4.018726901,9.730453491,Philadelphia,40.00145146,-75.05541801,"6,953,652"
,,,,,,,
St Croix-Jacksonville,St Croix,17.6492558,-64.5227051,Jacksonville,30.45992,-81.3709259,"6,803,785"
,,,,,,,
Esmeraldas-Martinez,Esmeraldas,0.977735746,-79.61380005,Martinez,38.05201125,-122.0536423,"6,721,052"
,,,,,,,
Arzew-Portland (Maine),Arzew,35.77827134,-0.162734985,Portland (Maine),43.68823237,-70.19508362,"6,717,174"
,,,,,,,
Antwerp-Baton Rouge,Antwerp,51.18278643,4.500961304,Baton Rouge,30.53535513,-91.15562439,"6,586,565"
,,,,,,,
Esmeraldas-Houston,Esmeraldas,0.977735746,-79.61380005,Houston,29.79655941,-94.95346069,"6,505,535"
,,,,,,,
Esmeraldas-El Segundo Terminal,Esmeraldas,0.977735746,-79.61380005,El Segundo Terminal,33.93937338,-118.3962164,"6,494,073"
,,,,,,,
Freeport (Bah)-Houston,Freeport (Bah),26.49646266,-78.74073029,Houston,29.79655941,-94.95346069,"6,444,060"
,,,,,,,
Puerto Armuelles-Long Beach,Puerto Armuelles,8.186004291,-82.82833099,Long Beach,33.79740877,-118.1763268,"6,366,459"
,,,,,,,
Ras Tanura-Honolulu,Ras Tanura,26.59712322,50.23773193,Honolulu,21.33687092,-157.8321648,"6,359,634"
,,,,,,,
Cayos Arcas Terminal-Beaumont,Cayos Arcas Terminal,20.14572264,-91.97307587,Beaumont,30.1338447,-93.95362973,"6,333,093"
,,,,,,,
Skikda-Richmond (California),Skikda,36.87220542,6.993141174,Richmond (California),37.89815597,-122.2919083,"6,262,103"
,,,,,,,
Rotterdam-South Louisiana Port,Rotterdam,51.86377197,4.555206299,South Louisiana Port,30.12939073,-90.27654648,"6,255,307"
,,,,,,,
Dos Bocas-Beaumont,Dos Bocas,18.39199497,-93.14826965,Beaumont,30.1338447,-93.95362973,"6,249,185"
,,,,,,,
Bejaia-Portland (Maine),Bejaia,36.6849403,5.140142414,Portland (Maine),43.68823237,-70.19508362,"6,188,704"
,,,,,,,
Oranjestad (Aruba)-San Juan,Oranjestad (Aruba),12.40757435,-69.88420486,San Juan,18.413496,-66.0099792,"6,163,482"
,,,,,,,
Sidi Kerir-Philadelphia,Sidi Kerir,31.03782442,29.6837866,Philadelphia,40.00145146,-75.05541801,"6,130,792"
,,,,,,,
Damietta-Savannah,Damietta,31.43393614,31.80610657,Savannah,32.17779192,-80.98743439,"6,116,603"
,,,,,,,
St Croix-Perth Amboy,St Croix,17.6492558,-64.5227051,Perth Amboy,40.55815634,-74.24603462,"6,098,919"
,,,,,,,
Kerch (incl. Port Krym)-Corpus Christi,Kerch (incl. Port Krym),45.24637067,36.63837433,Corpus Christi,28.0550147,-96.98730469,"6,078,320"
,,,,,,,
Jose Terminal-Wilmington (Del.),Jose Terminal,10.04493476,-64.81868362,Wilmington (Del.),39.777935,-75.4795074,"5,877,881"
,,,,,,,
Bahia Las Minas-Pascagoula,Bahia Las Minas,9.343043568,-79.78649139,Pascagoula,30.38723997,-88.4564209,"5,842,183"
,,,,,,,
Jose Terminal-Pascagoula,Jose Terminal,10.04493476,-64.81868362,Pascagoula,30.38723997,-88.4564209,"5,811,394"
,,,,,,,
Come By Chance-New York,Come By Chance,47.70987705,-53.95248413,New York,40.85160511,-73.79653931,"5,785,147"
,,,,,,,
Brass Terminal-Philadelphia,Brass Terminal,4.287356119,6.269073486,Philadelphia,40.00145146,-75.05541801,"5,590,080"
,,,,,,,
Amsterdam-New York,Amsterdam,52.34037359,4.988479614,New York,40.85160511,-73.79653931,"5,545,796"
,,,,,,,
Puerto Cortes-Houston,Puerto Cortes,15.8132306,-87.90229797,Houston,29.79655941,-94.95346069,"5,476,367"
,,,,,,,
Guanta-Port Arthur,Guanta,10.16085679,-64.54055786,Port Arthur,29.99569696,-93.80401611,"5,458,055"
,,,,,,,
Singapore-South Louisiana Port,Singapore,1.131518239,104.1112518,South Louisiana Port,30.12939073,-90.27654648,"5,375,288"
,,,,,,,
Dumai-Honolulu,Dumai,1.6412016,101.5222549,Honolulu,21.33687092,-157.8321648,"5,246,356"
,,,,,,,
Esmeraldas-Los Angeles (incl San Pedro),Esmeraldas,0.977735746,-79.61380005,Los Angeles (incl San Pedro),33.70406337,-118.2322884,"5,171,736"
,,,,,,,
Rotterdam-New Orleans,Rotterdam,51.86377197,4.555206299,New Orleans,30.03744573,-89.88189697,"5,140,783"
,,,,,,,
Cape Lopez-Philadelphia,Cape Lopez,-0.836464279,8.973907471,Philadelphia,40.00145146,-75.05541801,"5,108,974"
,,,,,,,
Tallinn-New Orleans,Tallinn,59.42122113,24.89397883,New Orleans,30.03744573,-89.88189697,"5,032,806"
,,,,,,,
Antwerp-Houston,Antwerp,51.18278643,4.500961304,Houston,29.79655941,-94.95346069,"5,019,137"
,,,,,,,
Bonny Offshore Terminal-Philadelphia,Bonny Offshore Terminal,3.950411444,7.83682251,Philadelphia,40.00145146,-75.05541801,"4,941,249"
,,,,,,,
Soyo-Philadelphia,Soyo,-6.132703607,12.3989296,Philadelphia,40.00145146,-75.05541801,"4,917,891"
,,,,,,,
Antan Terminal-Philadelphia,Antan Terminal,4.168901629,8.37789917,Philadelphia,40.00145146,-75.05541801,"4,913,973"
,,,,,,,
Skikda-New York,Skikda,36.87220542,6.993141174,New York,40.85160511,-73.79653931,"4,790,606"
,,,,,,,
Dos Bocas-Port Arthur,Dos Bocas,18.39199497,-93.14826965,Port Arthur,29.99569696,-93.80401611,"4,789,522"
,,,,,,,
Antwerp-New Orleans,Antwerp,51.18278643,4.500961304,New Orleans,30.03744573,-89.88189697,"4,756,393"
